Text,API,Time,WER,MER,WIL
Comiendo moscas,sphinx,1.3121998310089111,2.5,1.0,1.0
Comiendo moscas,google,1.5458250045776367,0.0,0.0,0.0
Comiendo moscas,whisper,3.8470618724823,0.5,0.3333333333333333,0.3333333333333333
Comiendo moscas,wit,1.793572187423706,0.0,0.0,0.0
Comiendo moscas,google_cloud,2.1226601600646973,0.0,0.0,0.0
Comiendo moscas,azure,3.326658010482788,0.0,0.0,0.0
Comiendo moscas,houndify,1.887976884841919,1.5,0.75,0.875
Comiendo moscas,voicegain,3.816855192184448,0.0,0.0,0.0
Comiendo moscas,picovoice,0.2132899761199951,2.0,1.0,1.0
Comiendo moscas,openai_whisper,1.6403768062591553,0.0,0.0,0.0
Comiendo moscas,vosk,0.226398229598999,0.0,0.0,0.0
Comiendo moscas,assemblyai,16.0063259601593,0.0,0.0,0.0
Comiendo moscas,aws,14.880182981491089,0.0,0.0,0.0
Comiendo moscas,deepgram,1.5294818878173828,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,sphinx,2.827035903930664,1.2,1.0,1.0
¿Cuál es tu cancion favorita?,google,1.3712341785430908,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,whisper,1.2646830081939695,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,wit,1.8534839153289795,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,google_cloud,1.5705769062042236,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,azure,3.527006149291992,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,houndify,2.0723190307617188,0.4,0.4,0.64
¿Cuál es tu cancion favorita?,voicegain,3.89215898513794,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,picovoice,0.2969288825988769,1.6,1.0,1.0
¿Cuál es tu cancion favorita?,openai_whisper,1.338551044464111,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,vosk,0.2657098770141601,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,assemblyai,16.199047803878784,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,aws,16.75153684616089,0.0,0.0,0.0
¿Cuál es tu cancion favorita?,deepgram,1.6766951084136963,0.0,0.0,0.0
¿Cuál es tu libro favorito?,sphinx,1.853248119354248,1.2,1.0,1.0
